pair_id,question_id_1,title_1,body_excerpt_1,tags_1,question_id_2,title_2,body_excerpt_2,tags_2,initial_label,label_code,annotation_reason,title_similarity,same_baseline_cluster,review_status,reviewer_label,reviewer_name,review_notes
P011,57735484,ora-00907 missing right parenthesis in subquery,"oracle shows error: ora-00907 missing right parenthesis SELECT EQUIPMENT_ID FROM IRRI_EQUIPMENT_STATUS_CHANGE WHERE ID IN(SELECT MAX (ID) FROM IRRI_EQUIPMENT_STATUS_CHANGE WHERE STAUS_YEAR_MONTH &lt;= 105 GROUP BY EQUIPMENT_ID, STAUS_YEAR_MONTH ORDER BY MAX (ID) ASC, STAUS_YEAR_MONTH DESC) ORDER BY ",oracle-database|subquery|ora-00907,67435199,Oracle - ORA-00907: missing right parenthesis,"I just can't find what is wrong here. Trying to select path to the article pictures. ORA-00907: missing right parenthesis select artnr, listagg(path, bildnr '.' filtyp) within group (order by bildnr) as sökväg from kund where knr in (select knr from kundorder where ordnr in (select ordnr from orderr",sql|oracle-database|listagg,重复,1,核心关键词和问题表述高度一致，操作目标或故障现象相同,0.8116,1,待人工复核,,,
P012,12528114,Regular expression in Oracle,"I want to fetch a string pattern in column of table. I am using a query like select CALCULATION_DETAILS from DS_ELEMENT_CALC_PROPERTY where REGEXP_LIKE(CALCULATION_DETAILS, 'fm.get'); I am not able to figure out the exact regexp for my requirement. CALCULATION_DETAILS is clob and it contains a very ",sql|regex|database|oracle-database|database-administration,15228339,Oracle regular expression,"I have below string of data,How to get number alone using oracle regular expression last two charcters is always either 'RC' or 'RN'.If number not found return 0. 1AEABCRC 1AEABC1RC 1AEABC1RN 1AEABC2RN",oracle-database|plsql|plsqldeveloper,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.9038,1,待人工复核,,,
P013,2285527,ORA-12154: TNS:could not resolve the connect identifier specified,I am trying to connect to oracle 11g installed on Linux EL 5 and and getting the following error SQL&gt; connect sys/password@ud06 as sysdba ERROR: ORA-12514: TNS:listener does not currently know of service requested in connect descriptor my listener.ora under network/admin is as follows LISTENER= (,oracle-database|oracle11g|listener|tnsnames|ora-12514,16209728,TNS:could not resolve the connect identifier specified,"I have oracle server 11g installed on my windows 7 machine. I have to install this server from a remote machine. Remote machine is a 64 bit system,with Ubuntu 12.10. To access the server I installed Oracle instant client and configured eveything. ORACLE_HOME, TNS_ADMIN, PATH, LD_LIBRARY_PATH all are",oracle-database|oracle11g|oracleclient|ora-12154,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.8167,1,待人工复核,,,
P014,32862123,"PLS-00103: Encountered the symbol ""IF"" when expecting one of the following in oracle function","I am writing the below function in which i am getting error as PLS-00103: Encountered the symbol ""IF"" when expecting one of the following: ( - + case mod new null &lt;an identifier&gt; . I know this error is coming at the line where i am trying to append if condition with THRESHOLD_MIN_ALERT string ",oracle-database|function|if-statement|plsql,37734013,"PLS-00103: Encountered the symbol ""IS"" when expecting one of the following","I am trying to create a function right now (instead of a package) that selects the column data that is currently inside of my OP_GUIDE_VIEW. Just need a function that selects what's there. Not modifying anything, don't think I need parameters or anything either. What I have so far is the following; ",sql|oracle-database|cursor,相关但不重复,0,共享错误码pls-00103，但具体环境或解决目标可能不同,0.8067,1,待人工复核,,,
P015,27336520,"PLS-00103: Encountered the symbol ""end-of-file"" when expecting one of the following: := . ( @ % ;","What is wrong with my PLSQL? CREATE OR REPLACE PROCEDURE REGISTRO_CLIENTE_TARJETA( v_nombre IN VARCHAR2, v_ap_paterno IN VARCHAR2, v_ap_paterno IN VARCHAR2, v_rfc IN VARCHAR2, v_email IN VARCHAR2, v_direccion IN VARCHAR2, v_numero IN VARCHAR2, v_num_seg IN VARCHAR2, v_mes_exp IN VARCHAR2, v_anio_exp",oracle-database|plsql|oracle11g|sqlplus,37734013,"PLS-00103: Encountered the symbol ""IS"" when expecting one of the following","I am trying to create a function right now (instead of a package) that selects the column data that is currently inside of my OP_GUIDE_VIEW. Just need a function that selects what's there. Not modifying anything, don't think I need parameters or anything either. What I have so far is the following; ",sql|oracle-database|cursor,相关但不重复,0,共享错误码pls-00103，但具体环境或解决目标可能不同,0.8006,1,待人工复核,,,
P016,7670290,TNS:listener does not currently know of service requested in connect descriptor,I get ORA-12514:TNS:listener does not currently know of service requested in connect descriptor when running my application yet I can connect to the database via server explorer in visual studio. Where does the application look (when published) to get the information required to connect to the datab,asp.net|oracle-database,30356182,Toad for oracle -- ORA-12514:TNS:listener does not currently know of service requested in connect descriptor,"I'm getting this error when connecting with Toad for Oracle. ORA-12514: TNS:listener does not currently know of service requested in connect descriptor Items Checked TNS_ADMIN environment variable is defined as ""D:\app\oracle\product\12.1.0\client_1\Network\Admin"" D:\app\oracle\product\12.1.0\client",oracle-database|toad,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7919,1,待人工复核,,,
P017,43074824,"ORA-04091: table CISTU018.TIMESHEET is mutating, trigger/function may not see it","I have created a trigger:(my before trigger worked well, but my instructor wanted me to do an after trigger, but it didn't work when I tried to fire the trigger) /*AFTER TRIGGER*/ SET SERVEROUTPUT ON; SET VERIFY OFF CREATE OR REPLACE TRIGGER HOUR_TIMESHEET AFTER INSERT ON TIMESHEET FOR EACH ROW DECL",oracle-database,71343429,"Oracle : ORA-04091: table AVIS is mutating, trigger/function may not see it","So, I'm a french student in IT, I've got this work like 4 weeks before, and I really can't get around this problem (I mainly worked on PostGRE and it's way different for me). I've got those two tables : link To resume, I've got one table LIVRES (which is book in French), where there's two attributes",sql|oracle-database|triggers,相关但不重复,0,共享错误码ora-04091，但具体环境或解决目标可能不同,0.7727,1,待人工复核,,,
P018,12564918,Why Oracle is saying not a GROUP BY expression?,"I am Trying to retrive data from the Oracle database table with following conditions All entries found by zip-code should be grouped, sorted by zip-code descending. entries found by city should be grouped, sorted alphabetically. All entries found by dealername should be grouped, sorted alphabeticall",sql|oracle-database,25103756,NOT a group by expression SQL,"create view top5food as select f.FoodID,f.FoodName,SUM(o.Quantity) as ""Total Food Sold"" from FOODANDBEVERAGEORDER o,FOODANDBEVERAGE f where o.foodid=f.foodid group by o.foodid order by SUM(o.Quantity) desc; anything wrong with this query? there is an error ORA-00979 NOT A GROUP BY EXPRESSION",sql|oracle-database|group-by|expression,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7574,1,待人工复核,,,
P019,36158085,01861-literal-does-not-match-format-string,"I have a query to select last 5 vehicle are recently reported. which is stored in ""VEHICLE_IN"" table. SELECT R.REG_NO FROM (SELECT G.REG_NO FROM VEHICLE_IN G INNER JOIN VEHICLE_MASTER M ON G.REG_NO=M.REG_NO WHERE to_date((IN_DATE||' '||IN_TIME),'YYYY-MM-DD HH24:MI') &gt;= (SYSDATE-30/1440) AND M.VEH",sql|oracle-database|oracle9i,43116673,JDBC - ORA-01861: literal does not match format string 01861,"I have problem with retrieving a data from oracle data base I want to access data by using two JDatechoosers ... I use JDatechooser to store date value in database of type date. chooser=new JDateChooser(); chooser.setBounds (200, 175, 175, 25); chooser.setDateFormatString(""dd-MM-yyyy""); pstmt.setDat",java|oracle-database|date|jdbc|jdatechooser,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7562,1,待人工复核,,,
P020,46619660,How to with oracle regexp_replace parse string,"I have a string: ""ABC-30 (40D)"", the result is 30, my example: regexp_replace(f, '^[^-]+-(\d+)*') don't work...",sql|regex|oracle-database,48523997,Oracle Regexp_replace string,Let's say I have the following string: notNull(devhx_8_other2_name_2) AND notNull(devhx_8_other2_amt) How can I use regexp_replace to change it to: (devhx_8_other2_name_2) is not null AND (devhx_8_other2_amt) is not null,sql|regex|oracle-database|regexp-replace,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7520,1,待人工复核,,,
P021,7098748,"ORA-06550: line 1, column 7: PLS-00306: wrong number or types of arguments in call to 'INSERTBILL'","Hi I have problem with calling store procedure on Oracle 10g server. This is my table: -- Create table create table TMOBILE_R_BILLS ( ID VARCHAR2(50) not null, NO VARCHAR2(30) not null, SURNAME VARCHAR2(60) not null, NAME VARCHAR2(60) not null, BILL_MONTH NUMBER not null, VPS_TIME NUMBER not null, V",c#|oracle-database|odp.net|procedure,27685240,ORA-06550:PLS-00306: wrong number or types of arguments in call;ORA-06550:,"Simple insert operation via vb.net but getting error: ORA-06550: line 1, column 7: PLS-00306: wrong number or types of arguments in call to 'PROCEDURE_NAME' ORA-06550: line 1, column 7: May be I am missing or overlooking something. Some help will be really appreciated. SQL: CREATE OR REPLACE procedu",vb.net|oracle-database|stored-procedures|arguments,相关但不重复,0,"共享错误码ora-06550,pls-00306，但具体环境或解决目标可能不同",0.7517,1,待人工复核,,,
P022,7670290,TNS:listener does not currently know of service requested in connect descriptor,I get ORA-12514:TNS:listener does not currently know of service requested in connect descriptor when running my application yet I can connect to the database via server explorer in visual studio. Where does the application look (when published) to get the information required to connect to the datab,asp.net|oracle-database,47005505,cx_Oracle.DatabaseError: ORA-12514: TNS:listener does not currently know of service requested in connect descriptor,"I am trying to do a sanity testing of newly installed Oracle client 12.2 in RHEL 7 linux from a Python program, but it fails with the above error, not sure what I am missing on there. Please help with this case : cx_Oracle.DatabaseError: ORA-12514: TNS:listener does not currently know of service req",python|linux|oracle-database|database-connection|cx-oracle,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7443,1,待人工复核,,,
P023,13518506,Oracle - literal does not match format string error,"Possible Duplicate: Simple Oracle query: literal does not match format string I am getting the following error: INSERT INTO CatalogueEntry VALUES('2001-12-10', 2, 14.99, 1, 0) ERROR at line 1: ORA-01861: literal does not match format string ` The first field is a DATE format. Any ideas? Thanks.",sql|database|oracle-database|date-format|ora-01861,36158085,01861-literal-does-not-match-format-string,"I have a query to select last 5 vehicle are recently reported. which is stored in ""VEHICLE_IN"" table. SELECT R.REG_NO FROM (SELECT G.REG_NO FROM VEHICLE_IN G INNER JOIN VEHICLE_MASTER M ON G.REG_NO=M.REG_NO WHERE to_date((IN_DATE||' '||IN_TIME),'YYYY-MM-DD HH24:MI') &gt;= (SYSDATE-30/1440) AND M.VEH",sql|oracle-database|oracle9i,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7315,1,待人工复核,,,
P024,5804109,"Help with ""ORA-00907: missing right parenthesis"" error please","I am getting a ORA-00907: missing right parenthesis from the following code below dbQuery:= TQuery.Create(nil); dbQuery.DatabaseName:= dbMain.DatabaseName; with dbQuery do begin SQL.Add('select payee_address_zip, EXTRACT(WEEKDAY FROM check_date) as DOW, '); SQL.Add('(cmcl_bank_cleared - check_date) ",sql|oracle-database|delphi|delphi-7,48680664,SQL Oracle Error: ORA-00907: missing right parenthesis,"Select m.CEAREGA, m.Crotal, rem.IdRexistro, m.IdMostraExt, to_char(m.DataEntrega, 'DD/MM/YYYY') As Entrada, e.Descricion AS Ensaio, to_char(rem.DataValidacion, 'DD/MM/YYYY') as DataValidacion, r.Descricion as Resultado, to_char(rem.Valor) as Valor, es.Descricion as Especie, tm.Descricion as Mostra, ",sql|oracle-database|oracle11g|ora-00907,相关但不重复,0,共享错误码ora-00907，但具体环境或解决目标可能不同,0.7285,1,待人工复核,,,
P025,8539402,Call Oracle function from Java,"I have following function specification: FUNCTION FUNC_GET_SOMETHING_FROM_DATABASE ( IN_parameter1 IN VARCHAR2, IN_parameter2 IN VARCHAR2, IN_parameter3 IN VARCHAR2, IN_parameter4 IN VARCHAR2, IN_parameter5 IN VARCHAR2, IN_parameter6 IN VARCHAR2) RETURN REFCURTYP; Following is my method in Java that",java|oracle-database|oracle10g|stored-functions,41220423,Call an oracle function from c#,"i have a function in oracle with this signature test_fun(p_nat_no in number,p_number_type in number) RETURN test_table in the c# this is the code string select = ""test_fun""; using (OracleConnection connection = new OracleConnection(helper.Global.ConnectionString)) { OracleCommand command = new Oracl",c#|asp.net|.net|oracle-database,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7224,1,待人工复核,,,
P026,15228339,Oracle regular expression,"I have below string of data,How to get number alone using oracle regular expression last two charcters is always either 'RC' or 'RN'.If number not found return 0. 1AEABCRC 1AEABC1RC 1AEABC1RN 1AEABC2RN",oracle-database|plsql|plsqldeveloper,51511424,Oracle: Regular expression for dot,"For example, I have a table ""example"" which has a column ""col1"" with string like below some example text here x2.0.3-a abc some other example text 1.5 abc another example text 0.1.4 mnp some other example text abc another example text mnp I want to select those rows that matches a regular expression",sql|regex|oracle-database,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7209,1,待人工复核,,,
P027,1387917,ORA-01861: literal does not match format string,"When I try to execute this snippet: cmd.CommandText = ""SELECT alarm_id,definition_description,element_id, TO_CHAR (alarm_datetime, 'YYYY-MM-DD HH24:MI:SS'),severity, problem_text,status FROM aircom.alarms WHERE status = 1 and TO_DATE (alarm_datetime,'DD.MM.YYYY HH24:MI:SS') &gt; TO_DATE ('07.09.2008",sql|oracle-database|oracle10g|ora-01861,13518506,Oracle - literal does not match format string error,"Possible Duplicate: Simple Oracle query: literal does not match format string I am getting the following error: INSERT INTO CatalogueEntry VALUES('2001-12-10', 2, 14.99, 1, 0) ERROR at line 1: ORA-01861: literal does not match format string ` The first field is a DATE format. Any ideas? Thanks.",sql|database|oracle-database|date-format|ora-01861,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7177,1,待人工复核,,,
P028,66673393,ORA-01422: exact fetch returns more than requested number of rows in function,"Select statement return more than one row in resault. Is it possible get all row in resault with this function? CREATE OR REPLACE PACKAGE PKG_EMP AS TYPE measure_record IS RECORD( ename VARCHAR2(50), sal VARCHAR2(50), empno number); TYPE measure_table IS TABLE OF measure_record; FUNCTION get_emp(id ",sql|oracle-database|plsql,66748496,Exact fetch returns more than requested number of rows in procedure,"After call procedure get below error, when nested table contains more than one value. is it possible put NEW_ID variable in FORALL block or other solution? ORA-01422: exact fetch returns more than requested number of rows procedure EMP_INSERT ( P_EMP employees_nt ) as NEW_ID number; begin FORALL i I",oracle-database|plsql,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7125,1,待人工复核,,,
P029,7670290,TNS:listener does not currently know of service requested in connect descriptor,I get ORA-12514:TNS:listener does not currently know of service requested in connect descriptor when running my application yet I can connect to the database via server explorer in visual studio. Where does the application look (when published) to get the information required to connect to the datab,asp.net|oracle-database,59076980,"Error while connecting to Oracle, TNS:listener does not currently know of service requested in connect descriptor ASP.NET","My problem is when I try to make a connection to an Oracle 9i database, when I put the connection string it marks me ""TNS: listener does not currently know of service requested in connect descriptor"" . I found in a forum a similar error and says that the change the SERVICE_NAME for the SID, make the",asp.net|asp.net-mvc|oracle-database,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.7037,1,待人工复核,,,
P030,29625877,Inner join query in oracle,**SUB_ID_DTLS:** ================ Sub_Id Id_Val ================ 497 16000123-9 495 16000123-9 489 16000281-7 **SUB_DTLS** =========== Sub_id TxnId ============= 499 683 498 682 497 681 **TN_DTLS** =========== TN TxnId ================== 9999098766 683 9999098766 682 9999098765 681 **PORT_DTLS** ===,oracle-database,61316400,SQL UPDATE - INNER JOIN QUERY,"I am trying to do an update in 2 tables, but i have this error: Error SQL: ORA-00933: ""SQL command not properly ended"". Could you help me please? The query is: UPDATE a SET a.ACTORID_ = SUBSTR(a.ACTORID_, 2, LENGTH(a.ACTORID_)), b.TASKACTORID_ = SUBSTR(b.TASKACTORID_, 2, LENGTH(b.TASKACTORID_)) FROM",sql|oracle-database|sql-update|inner-join|update-inner-join,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.6995,1,待人工复核,,,
P031,30356182,Toad for oracle -- ORA-12514:TNS:listener does not currently know of service requested in connect descriptor,"I'm getting this error when connecting with Toad for Oracle. ORA-12514: TNS:listener does not currently know of service requested in connect descriptor Items Checked TNS_ADMIN environment variable is defined as ""D:\app\oracle\product\12.1.0\client_1\Network\Admin"" D:\app\oracle\product\12.1.0\client",oracle-database|toad,55322654,"expressjs oracledb { [Error: ORA-12514: TNS:listener does not currently know of service requested in connect descriptor] errorNum: 12514, offset: 0 }","I connect with DBeaver to Oracle Database Express Edition 11g successfully but when i want to connect with nodeJS my code is const oracleApp = express(); const oracledb = require('oracledb'); const config = { user: 'TEST', password: 'TEST', connectString: 'localhost:1521/XE' }; async function getStu",node.js|oracle-database|express|node-oracledb,相关但不重复,0,共享错误码ora-12514，但具体环境或解决目标可能不同,0.6978,1,待人工复核,,,
P032,16209728,TNS:could not resolve the connect identifier specified,"I have oracle server 11g installed on my windows 7 machine. I have to install this server from a remote machine. Remote machine is a 64 bit system,with Ubuntu 12.10. To access the server I installed Oracle instant client and configured eveything. ORACLE_HOME, TNS_ADMIN, PATH, LD_LIBRARY_PATH all are",oracle-database|oracle11g|oracleclient|ora-12154,35772850,ORA-12154: TNS:could not resolve the connect identifier specified in VS 2013,"I had this same project working in VS2010, however when I switched to VS2013 I can no longer connect to the same Oracle DB. Steps that I have taken so far: Installed Oracle Developer Tools for VS2013 Nuget - Installed Official Oracle ODP.NET Manager Driver Nuget - Installed Official Oracle ODP.NET M",c#|asp.net|oracle-database|visual-studio-2013|oracle11g,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.6947,1,待人工复核,,,
P033,30356182,Toad for oracle -- ORA-12514:TNS:listener does not currently know of service requested in connect descriptor,"I'm getting this error when connecting with Toad for Oracle. ORA-12514: TNS:listener does not currently know of service requested in connect descriptor Items Checked TNS_ADMIN environment variable is defined as ""D:\app\oracle\product\12.1.0\client_1\Network\Admin"" D:\app\oracle\product\12.1.0\client",oracle-database|toad,51485314,"Getting ""ORA-12514, TNS:listener does not currently know of service requested in connect descriptor"" in JBoss DB Source Configuration","I'm having the same problem in both JBOSS EAP 6.3 and 7.1. And the EAP is running in Windows environment. I have 2 Data sources: one is for test, one is for stg. They are having very similar Connection URL: jdbc:oracle:thin@//tst-server.tst.myapp.com:1599/testdb jdbc:oracle:thin@//stg-server.stg.mya",java|oracle-database|jdbc|jboss,相关但不重复,0,共享错误码ora-12514，但具体环境或解决目标可能不同,0.6907,1,待人工复核,,,
P034,23332210,Oracle and Asp.net connection,"I use Oracle SQL developer and I made a connection to my database with the system user, after I created a user and made a another connection when I try to run I get the SQL Error: ""ORA-01747: invalid user.table.column, table.column, or column specification"" This is my code for insert function: Dim s",asp.net|oracle-database,46484813,Oracle connection with asp.net v13,"i have this problem for long time and not able to solve> Hope i get the solution here. I have installed Oracle express edition 11 g and i have created the table-space and the schema. Then , i have installed the ASP.NET. when i compile the project it shows error with the conn.open(). i tried this con",c#|asp.net|oracle-database,相关但不重复,0,属于相同技术主题，但操作对象、输入条件或具体诉求不同,0.6869,1,待人工复核,,,
